number,timeSent,sourceIP,destIP,protocol,length,info,danger
43,9.303490213,192.168.1.129,192.168.1.141,ICMP,98,"Echo (ping) request  id=0x3b4f, seq=1/256, ttl=64 (no response found!)",?
48,10.32397103,192.168.1.129,192.168.1.141,ICMP,98,"Echo (ping) request  id=0x3b4f, seq=2/512, ttl=64 (no response found!)",?
49,11.34798687,192.168.1.129,192.168.1.141,ICMP,98,"Echo (ping) request  id=0x3b4f, seq=3/768, ttl=64 (no response found!)",?
50,12.37201614,192.168.1.129,192.168.1.141,ICMP,98,"Echo (ping) request  id=0x3b4f, seq=4/1024, ttl=64 (no response found!)",?
62,14.13479614,192.168.1.129,192.168.1.141,ICMP,98,"Echo (ping) request  id=0x3b4f, seq=5/1280, ttl=64 (no response found!)",?
445,34.9300355,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=533/5378, ttl=128 (reply in 446)",?
446,34.93005273,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=533/5378, ttl=64 (request in 445)",?
453,35.93404632,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=534/5634, ttl=128 (reply in 454)",?
454,35.93406393,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=534/5634, ttl=64 (request in 453)",?
460,36.93630007,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=535/5890, ttl=128 (reply in 461)",?
461,36.9363176,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=535/5890, ttl=64 (request in 460)",?
478,37.93887896,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=536/6146, ttl=128 (reply in 479)",?
479,37.93889653,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=536/6146, ttl=64 (request in 478)",?
819,76.47189837,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=537/6402, ttl=128 (reply in 820)",?
820,76.47191767,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=537/6402, ttl=64 (request in 819)",?
825,77.47568999,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=538/6658, ttl=128 (reply in 826)",?
826,77.47570865,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=538/6658, ttl=64 (request in 825)",?
846,78.47788948,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=539/6914, ttl=128 (reply in 847)",?
847,78.47790791,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=539/6914, ttl=64 (request in 846)",?
858,79.47983439,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=540/7170, ttl=128 (reply in 859)",?
859,79.47985199,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=540/7170, ttl=64 (request in 858)",?
865,80.48221659,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=541/7426, ttl=128 (reply in 866)",?
866,80.48223369,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=541/7426, ttl=64 (request in 865)",?
870,81.48470738,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=542/7682, ttl=128 (reply in 871)",?
871,81.4847245,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=542/7682, ttl=64 (request in 870)",?
874,82.48733928,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=543/7938, ttl=128 (reply in 875)",?
875,82.48735767,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=543/7938, ttl=64 (request in 874)",?
