number,timeSent,sourceIP,destIP,protocol,length,info,danger
2257,181.4774281,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=1/256, ttl=64 (reply in 2258)",no
2258,181.4972575,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=1/256, ttl=56 (request in 2257)",no
2268,182.4796424,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=2/512, ttl=64 (reply in 2270)",no
2270,182.5009616,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=2/512, ttl=56 (request in 2268)",no
2286,183.4806312,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=3/768, ttl=64 (reply in 2287)",no
2287,183.5021899,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=3/768, ttl=56 (request in 2286)",no
2292,184.4933207,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=4/1024, ttl=64 (reply in 2293)",no
2293,184.5134436,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=4/1024, ttl=56 (request in 2292)",no
2300,185.4946023,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=5/1280, ttl=64 (reply in 2301)",no
2301,185.5155191,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=5/1280, ttl=56 (request in 2300)",no
2311,186.4959264,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=6/1536, ttl=64 (reply in 2315)",no
2315,186.5153698,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=6/1536, ttl=56 (request in 2311)",no
2318,187.5002426,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=7/1792, ttl=64 (reply in 2319)",no
2319,187.5203886,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=7/1792, ttl=56 (request in 2318)",no
2332,188.5016416,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=8/2048, ttl=64 (reply in 2333)",no
2333,188.5222088,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=8/2048, ttl=56 (request in 2332)",no
2337,189.5026382,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=9/2304, ttl=64 (reply in 2338)",no
2338,189.5231128,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=9/2304, ttl=56 (request in 2337)",no
2341,190.6983324,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=10/2560, ttl=64 (reply in 2342)",no
2342,190.7238333,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=10/2560, ttl=56 (request in 2341)",no
2343,191.7097505,192.168.1.129,8.8.8.8,ICMP,98,"Echo (ping) request  id=0x7942, seq=11/2816, ttl=64 (reply in 2344)",no
2344,191.7314166,8.8.8.8,192.168.1.129,ICMP,98,"Echo (ping) reply    id=0x7942, seq=11/2816, ttl=56 (request in 2343)",no
3380,267.6999317,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=379/31489, ttl=128 (reply in 3381)",no
3381,267.699963,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=379/31489, ttl=64 (request in 3380)",no
3382,267.7000421,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=379/31489, ttl=64",no
3392,268.7032299,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=380/31745, ttl=128 (reply in 3393)",no
3393,268.7032481,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=380/31745, ttl=64 (request in 3392)",no
3394,268.7033493,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=380/31745, ttl=64",no
3399,269.7058236,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=381/32001, ttl=128 (reply in 3400)",no
3400,269.7058422,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=381/32001, ttl=64 (request in 3399)",no
3401,269.7058239,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=381/32001, ttl=64",no
3402,270.7079143,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=382/32257, ttl=128 (reply in 3403)",no
3403,270.707932,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=382/32257, ttl=64 (request in 3402)",no
3404,270.7080382,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=382/32257, ttl=64",no
25058,561.352922,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=383/32513, ttl=128 (reply in 25059)",no
25059,561.3529402,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=383/32513, ttl=64 (request in 25058)",no
25060,561.3530251,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=383/32513, ttl=64",no
25092,562.3548793,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=384/32769, ttl=128 (reply in 25093)",no
25093,562.3549025,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=384/32769, ttl=64 (request in 25092)",no
25094,562.3549591,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=384/32769, ttl=64",no
25104,563.3570952,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=385/33025, ttl=128 (reply in 25105)",no
25105,563.3571124,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=385/33025, ttl=64 (request in 25104)",no
25106,563.3572312,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=385/33025, ttl=64",no
25120,564.3592424,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=386/33281, ttl=128 (reply in 25121)",no
25121,564.3592596,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=386/33281, ttl=64 (request in 25120)",no
25122,564.3593569,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=386/33281, ttl=64",no
25148,565.3611868,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=387/33537, ttl=128 (reply in 25149)",no
25149,565.3612039,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=387/33537, ttl=64 (request in 25148)",no
25150,565.3613072,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=387/33537, ttl=64",no
25163,566.3635248,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=388/33793, ttl=128 (reply in 25164)",no
25164,566.3635374,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=388/33793, ttl=64 (request in 25163)",no
25165,566.3636079,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=388/33793, ttl=64",no
25196,567.3657151,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=389/34049, ttl=128 (reply in 25197)",no
25197,567.3657347,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=389/34049, ttl=64 (request in 25196)",no
25198,567.3658016,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=389/34049, ttl=64",no
25227,568.3681662,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=390/34305, ttl=128 (reply in 25228)",no
25228,568.3681823,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=390/34305, ttl=64 (request in 25227)",no
25229,568.3683276,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=390/34305, ttl=64",no
25234,569.370622,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=391/34561, ttl=128 (reply in 25235)",no
25235,569.3706406,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=391/34561, ttl=64 (request in 25234)",no
25236,569.3707394,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=391/34561, ttl=64",no
25272,570.3729854,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=392/34817, ttl=128 (reply in 25273)",no
25273,570.3730033,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=392/34817, ttl=64 (request in 25272)",no
25274,570.3731088,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=392/34817, ttl=64",no
25275,571.3756808,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=393/35073, ttl=128 (reply in 25276)",no
25276,571.3757044,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=393/35073, ttl=64 (request in 25275)",no
25277,571.3757693,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=393/35073, ttl=64",no
25298,572.3780607,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=394/35329, ttl=128 (reply in 25299)",no
25299,572.3780773,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=394/35329, ttl=64 (request in 25298)",no
25300,572.3781797,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=394/35329, ttl=64",no
25324,573.380534,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=395/35585, ttl=128 (reply in 25325)",no
25325,573.3805548,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=395/35585, ttl=64 (request in 25324)",no
25326,573.3806247,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=395/35585, ttl=64",no
25333,574.3831279,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=396/35841, ttl=128 (reply in 25334)",no
25334,574.3831465,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=396/35841, ttl=64 (request in 25333)",no
25335,574.3832375,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=396/35841, ttl=64",no
25351,575.3855098,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=397/36097, ttl=128 (reply in 25352)",no
25352,575.3855295,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=397/36097, ttl=64 (request in 25351)",no
25353,575.3855928,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=397/36097, ttl=64",no
25367,576.3881427,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=398/36353, ttl=128 (reply in 25368)",no
25368,576.3881612,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=398/36353, ttl=64 (request in 25367)",no
25369,576.3882596,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=398/36353, ttl=64",no
25422,577.3906524,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=399/36609, ttl=128 (reply in 25423)",no
25423,577.3906724,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=399/36609, ttl=64 (request in 25422)",no
25424,577.390785,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=399/36609, ttl=64",no
25451,578.3931411,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=400/36865, ttl=128 (reply in 25452)",no
25452,578.3931608,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=400/36865, ttl=64 (request in 25451)",no
25453,578.3932213,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=400/36865, ttl=64",no
25458,579.3958295,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=401/37121, ttl=128 (reply in 25459)",no
25459,579.3958496,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=401/37121, ttl=64 (request in 25458)",no
25460,579.3959468,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=401/37121, ttl=64",no
25465,580.398186,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=402/37377, ttl=128 (reply in 25466)",no
25466,580.3982059,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=402/37377, ttl=64 (request in 25465)",no
25467,580.3982731,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=402/37377, ttl=64",no
25470,581.4003822,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=403/37633, ttl=128 (reply in 25471)",no
25471,581.4004,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=403/37633, ttl=64 (request in 25470)",no
25472,581.4004746,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=403/37633, ttl=64",no
25487,582.4024585,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=404/37889, ttl=128 (reply in 25488)",no
25488,582.4024786,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=404/37889, ttl=64 (request in 25487)",no
25489,582.4025483,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=404/37889, ttl=64",no
25493,583.4048124,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=405/38145, ttl=128 (reply in 25494)",no
25494,583.4048327,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=405/38145, ttl=64 (request in 25493)",no
25495,583.4049205,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=405/38145, ttl=64",no
25511,584.4072766,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=406/38401, ttl=128 (reply in 25512)",no
25512,584.4072961,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=406/38401, ttl=64 (request in 25511)",no
25513,584.407363,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=406/38401, ttl=64",no
25525,585.410001,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=407/38657, ttl=128 (reply in 25526)",no
25526,585.4100188,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=407/38657, ttl=64 (request in 25525)",no
25527,585.4101408,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=407/38657, ttl=64",no
25537,586.4126545,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=408/38913, ttl=128 (reply in 25538)",no
25538,586.4126723,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=408/38913, ttl=64 (request in 25537)",no
25539,586.4127764,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=408/38913, ttl=64",no
25581,587.4151467,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=409/39169, ttl=128 (reply in 25582)",no
25582,587.4151654,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=409/39169, ttl=64 (request in 25581)",no
25583,587.4152421,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=409/39169, ttl=64",no
25611,588.4176381,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=410/39425, ttl=128 (reply in 25612)",no
25612,588.4176577,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=410/39425, ttl=64 (request in 25611)",no
25613,588.4177948,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=410/39425, ttl=64",no
25620,589.4198158,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=411/39681, ttl=128 (reply in 25621)",no
25621,589.4198394,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=411/39681, ttl=64 (request in 25620)",no
25622,589.4198934,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=411/39681, ttl=64",no
25642,590.4221715,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=412/39937, ttl=128 (reply in 25643)",no
25643,590.4221888,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=412/39937, ttl=64 (request in 25642)",no
25644,590.4223177,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=412/39937, ttl=64",no
25773,591.4246783,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=413/40193, ttl=128 (reply in 25774)",no
25774,591.4247004,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=413/40193, ttl=64 (request in 25773)",no
25775,591.42479,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=413/40193, ttl=64",no
25780,592.4271877,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=414/40449, ttl=128 (reply in 25781)",no
25781,592.427212,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=414/40449, ttl=64 (request in 25780)",no
25782,592.4273298,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=414/40449, ttl=64",no
25787,593.429592,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=415/40705, ttl=128 (reply in 25788)",no
25788,593.4296109,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=415/40705, ttl=64 (request in 25787)",no
25789,593.4297391,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=415/40705, ttl=64",no
25796,594.4317033,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=416/40961, ttl=128 (reply in 25797)",no
25797,594.4317255,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=416/40961, ttl=64 (request in 25796)",no
25798,594.4318388,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=416/40961, ttl=64",no
25818,595.4341487,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=417/41217, ttl=128 (reply in 25819)",no
25819,595.434167,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=417/41217, ttl=64 (request in 25818)",no
25820,595.4342999,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=417/41217, ttl=64",no
25831,596.4368105,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=418/41473, ttl=128 (reply in 25832)",no
25832,596.4368321,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=418/41473, ttl=64 (request in 25831)",no
25833,596.4368846,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=418/41473, ttl=64",no
25860,597.4391343,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=419/41729, ttl=128 (reply in 25861)",no
25861,597.4391499,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=419/41729, ttl=64 (request in 25860)",no
25862,597.4392537,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=419/41729, ttl=64",no
25930,598.4417013,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=420/41985, ttl=128 (reply in 25931)",no
25931,598.4417172,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=420/41985, ttl=64 (request in 25930)",no
25932,598.4418004,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=420/41985, ttl=64",no
25938,599.4439754,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=421/42241, ttl=128 (reply in 25939)",no
25939,599.4439916,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=421/42241, ttl=64 (request in 25938)",no
25940,599.4441152,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=421/42241, ttl=64",no
25946,600.446683,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=422/42497, ttl=128 (reply in 25947)",no
25947,600.4467016,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=422/42497, ttl=64 (request in 25946)",no
25948,600.4467986,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=422/42497, ttl=64",no
25956,601.4493899,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=423/42753, ttl=128 (reply in 25957)",no
25957,601.4494085,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=423/42753, ttl=64 (request in 25956)",no
25958,601.4494829,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=423/42753, ttl=64",no
25970,602.451602,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=424/43009, ttl=128 (reply in 25971)",no
25971,602.451628,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=424/43009, ttl=64 (request in 25970)",no
25972,602.4517469,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=424/43009, ttl=64",no
25980,603.4537904,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=425/43265, ttl=128 (reply in 25981)",no
25981,603.4538065,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=425/43265, ttl=64 (request in 25980)",no
25982,603.4539064,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=425/43265, ttl=64",no
25987,604.4562195,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=426/43521, ttl=128 (reply in 25988)",no
25988,604.4562396,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=426/43521, ttl=64 (request in 25987)",no
25989,604.4563441,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=426/43521, ttl=64",no
26014,605.4588707,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=427/43777, ttl=128 (reply in 26015)",no
26015,605.4588869,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=427/43777, ttl=64 (request in 26014)",no
26016,605.4589519,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=427/43777, ttl=64",no
26053,606.4610587,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=428/44033, ttl=128 (reply in 26054)",no
26054,606.4610768,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=428/44033, ttl=64 (request in 26053)",no
26055,606.4611691,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=428/44033, ttl=64",no
26098,607.4637266,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=429/44289, ttl=128 (reply in 26099)",no
26099,607.463743,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=429/44289, ttl=64 (request in 26098)",no
26100,607.4638246,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=429/44289, ttl=64",no
26152,608.4668381,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=430/44545, ttl=128 (reply in 26153)",no
26153,608.4668592,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=430/44545, ttl=64 (request in 26152)",no
26154,608.4669614,192.168.1.129,192.168.1.141,ICMP,74,"Echo (ping) reply    id=0x0001, seq=430/44545, ttl=64",no
26194,609.4691967,192.168.1.141,192.168.1.129,ICMP,74,"Echo (ping) request  id=0x0001, seq=431/44801, ttl=128 (reply in 26195)",no
